,Date,Close,Predicted
421,2020-11-24,185.126663,164.35678
422,2020-11-25,191.333328,174.4014
423,2020-11-27,195.253326,179.72073
424,2020-11-30,189.199997,182.9958
425,2020-12-01,194.919998,177.45853
426,2020-12-02,189.606674,182.83406
427,2020-12-03,197.793335,178.17245
428,2020-12-04,199.679993,185.6633
429,2020-12-07,213.919998,186.98029
430,2020-12-08,216.626663,200.12538
431,2020-12-09,201.493332,200.50615
432,2020-12-10,209.023331,188.88776
433,2020-12-11,203.330002,195.58263
434,2020-12-14,213.276672,190.76329
435,2020-12-15,211.083328,199.64178
436,2020-12-16,207.589996,195.79404
437,2020-12-17,218.633331,192.84511
438,2020-12-18,231.666672,202.90991
439,2020-12-21,216.619995,213.24452
440,2020-12-22,213.446671,201.17044
441,2020-12-23,215.32666,197.32236
442,2020-12-24,220.589996,200.2187
